REGIAO,UF,ESTACAO,CODIGO (WMO),LATITUDE,LONGITUDE,ALTITUDE,DATA DE FUNDACAO
CO,DF,BRASILIA,A001,-15.78944444,-47.92583332,1160.96,07/05/00
CO,DF,BRAZLANDIA,A042,-15.59972221,-48.1311111,1143.0,19/07/17
CO,DF,AGUAS EMENDADAS,A045,-15.596491,-47.625801,1030.36,03/10/08
CO,DF,PARANOA (COOPA-DF),A047,-16.012222,-47.557417,1043.0,07/02/17
CO,GO,GOIANIA,A002,-16.642841,-49.220222,727.3,29/05/01
CO,GO,PORANGATU,A005,-13.30944444,-49.11749999,365.0,04/06/01
CO,GO,SAO SIMAO,A011,-18.969142,-50.633449,492.45,15/07/06
CO,GO,LUZIANIA,A012,-16.26055555,-47.96694443,1000.82,21/10/06
CO,GO,GOIAS,A014,-15.93972221,-50.14138888,512.86,18/07/07
CO,GO,JATAI,A016,-17.923622,-51.717467,670.08,23/05/07
CO,GO,GOIANESIA,A022,-15.22027777,-48.98999999,667.01,02/06/07
CO,GO,MINEIROS,A026,-17.45472222,-52.60111111,862.0,24/11/07
CO,GO,PARAUNA,A027,-16.9625,-50.42555554,678.74,29/03/08
CO,GO,IPORA,A028,-16.42305554,-51.14888888,610.41,24/06/13
CO,GO,EDEIA,A029,-17.33694444,-49.91472222,608.0,26/08/17
CO,GO,SAO MIGUEL DO ARAGUAIA,A031,-12.82055554,-50.33583333,210.0,29/06/17
CO,GO,MONTE ALEGRE DE GOIAS,A032,-13.25361111,-46.89027777,552.0,07/06/07
CO,GO,CATALAO,A034,-18.154779,-47.927614,900.72,31/01/08
CO,GO,CRISTALINA,A036,-16.78499999,-47.61305555,1211.08,14/12/07
CO,GO,CRISTALINA (FAZENDA SANTA MONICA),A056,-16.39944444,-47.62583332,932.0,25/01/18
CO,MS,CAMPO GRANDE,A702,-20.447195,-54.722615,528.47,10/09/01
CO,MS,TRES LAGOAS,A704,-20.78333333,-51.71222222,328.94,03/09/01
CO,MS,RIO BRILHANTE,A743,-21.77499999,-54.52805554,324.31,26/06/08
CO,MS,SIDROLANDIA,A754,-20.98166666,-54.97194443,471.43,29/09/08
CO,MS,SONORA,A761,-17.63527777,-54.76055555,495.25,30/11/12
CO,MT,CUIABA,A901,-15.559295,-56.062951,241.56,08/12/02
CO,MT,TANGARA DA SERRA,A902,-14.65,-57.43166666,440.01,11/12/02
CO,MT,GUIRATINGA,A932,-16.34166666,-53.76611111,525.43,24/01/08
CO,MT,ITIQUIRA,A933,-17.17499999,-54.50166666,593.12,14/08/08
NE,AL,MACEIO,A303,-9.55111111,-35.77027777,84.12,25/02/03
NE,BA,SALVADOR,A401,-13.005515,-38.50576,47.56,13/05/00
NE,BA,BARREIRAS,A402,-12.12472221,-45.02694443,474.17,20/12/01
NE,BA,LUIZ EDUARDO MAGALHAES,A404,-12.1525,-45.82972221,760.68,18/04/02
NE,BA,ITABERABA,A408,-12.52416666,-40.29972221,250.11,29/01/03
NE,BA,FEIRA DE SANTANA,A413,-12.1961111,-38.96749999,229.64,26/05/07
NE,BA,VITORIA DA CONQUISTA,A414,-14.88638888,-40.80138888,879.38,01/06/07
NE,BA,IRECE,A424,-11.328998,-41.864504,768.42,31/03/08
NE,BA,LENCOIS,A425,-12.557854,-41.388808,438.09,05/04/08
NE,BA,BARRA,A429,-11.08472221,-43.13888888,407.5,12/05/08
NE,BA,BRUMADO,A433,-14.18194443,-41.67222221,473.37,28/04/08
NE,BA,QUEIMADAS,A436,-10.98472221,-39.61694443,310.11,23/05/08
NE,BA,IBOTIRAMA,A439,-12.19305555,-43.21333333,425.12,28/04/08
NE,BA,ITAPETINGA,A446,-15.24472221,-40.22944443,271.48,25/06/09
NE,BA,FORMOSA DO RIO PRETO,A452,-11.05222222,-45.20083333,488.0,02/06/16
NE,BA,SALVADOR (RADIO FAROL),A456,-12.80833333,-38.49583333,31.0,10/03/18
NE,CE,FORTALEZA,A305,-3.81583333,-38.53777777,29.55,18/02/03
NE,MA,SAO LUIS,A203,-2.52666666,-44.21361111,54.8,29/01/03
NE,MA,IMPERATRIZ,A225,-5.55583333,-47.45972222,117.96,01/03/08
NE,MA,CAXIAS,A237,-4.82138888,-43.3436111,84.85,13/07/08
NE,PB,AREIA,A310,-6.975451,-35.718128,573.45,16/11/04
NE,PB,CAMPINA GRANDE,A313,-7.225574,-35.904831,546.17,22/12/06
NE,PB,JOAO PESSOA,A320,-7.16527777,-34.81555555,33.5,21/07/07
NE,PE,IBIMIRIM,A349,-8.50944444,-37.71166666,434.23,14/10/08
NE,PI,TERESINA,A312,-5.03472221,-42.80138888,75.23,24/11/04
NE,PI,CANTO DO BURITI,A365,-8.11805554,-42.97583332,312.07,12/06/10
NE,PI,CORRENTE,A374,-10.42916666,-45.17305554,452.0,28/03/18
N,AC,PARQUE ESTADUAL CHANDLESS,A102,-9.35833333,-69.92638888,184.51,05/08/08
N,AM,MANAUS,A101,-3.10333333,-60.01638888,61.25,09/05/00
N,AM,LABREA,A111,-7.26055555,-64.7886111,61.91,27/07/08
N,AP,PORTO GRANDE,A244,0.69416666,-51.40388888,84.8,17/09/08
N,PA,BELEM,A201,-1.411228,-48.439512,21.17,20/01/03
N,PA,BRAGANCA,A226,-1.04722221,-46.78583333,41.0,11/03/08
N,PA,CONCEICAO DO ARAGUAIA,A241,-8.30361111,-49.28277777,175.74,04/09/08
N,PA,DOM ELISEU,A252,-4.28055554,-47.56388888,251.0,08/03/18
N,PA,REDENCAO,A254,-8.04333333,-50.00694444,199.0,11/07/19
N,TO,PALMAS,A009,-10.14777777,-48.31444444,267.0,17/12/04
N,TO,PARANA,A010,-12.615,-47.87194443,284.96,04/03/05
N,TO,FORMOSO DO ARAGUAIA,A039,-11.88749999,-49.60833333,215.2,27/04/08
N,TO,SANTA FE DO ARAGUAIA,A048,-7.124191,-48.781267,171.0,30/07/16
SE,ES,VITORIA,A612,-20.27083332,-40.30583333,9.0,31/10/06
SE,ES,SAO MATEUS,A616,-18.6761111,-39.86416666,28.66,25/10/06
SE,ES,ALEGRE,A617,-20.75055555,-41.48888888,138.0,25/10/06
SE,ES,VENDA NOVA DO IMIGRANTE,A633,-20.38555555,-41.18999999,722.0,10/02/17
SE,MG,BARBACENA,A502,-21.22833332,-43.76777777,1168.76,05/12/02
SE,MG,ARAXA,A505,-19.60583333,-46.94972221,1018.32,19/12/02
SE,MG,MONTES CLAROS,A506,-16.68638888,-43.84388888,645.87,19/12/02
SE,MG,UBERLANDIA,A507,-18.91694443,-48.25555555,874.77,18/12/02
SE,MG,MONTE VERDE,A509,-22.86166666,-46.04333333,1544.89,19/12/04
SE,MG,TIMOTEO,A511,-19.57388888,-42.62249999,493.42,22/02/06
SE,MG,ITUIUTABA,A512,-18.95277777,-49.52499999,540.08,12/05/06
SE,MG,SAO JOAO DEL REI,A514,-21.106502,-44.250928,929.88,09/06/06
SE,MG,VARGINHA,A515,-21.56638888,-45.40416666,949.78,13/07/06
SE,MG,PASSOS,A516,-20.745237,-46.633916,781.7,16/07/06
SE,MG,JUIZ DE FORA,A518,-21.769965,-43.364329,936.88,26/05/07
SE,MG,CAMPINA VERDE,A519,-19.53921,-49.518133,559.07,15/07/06
SE,MG,CONCEICAO DAS ALAGOAS,A520,-19.98586,-48.151574,572.54,18/07/06
SE,MG,BELO HORIZONTE (PAMPULHA),A521,-19.88388888,-43.96944443,854.02,10/10/06
SE,MG,FORMIGA,A524,-20.455,-45.45388888,878.14,17/08/06
SE,MG,SACRAMENTO,A525,-19.87527777,-47.43416666,913.12,19/08/06
SE,MG,TEOFILO OTONI,A527,-17.89284,-41.515423,467.17,25/08/06
SE,MG,TRES MARIAS,A528,-18.200855,-45.459836,931.01,25/08/06
SE,MG,CALDAS,A530,-21.918066,-46.382996,1077.34,28/11/06
SE,MG,GOVERNADOR VALADARES,A532,-18.830354,-41.977007,198.24,27/05/07
